angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"[229, 44, 132, 178]",0.0,0.38,0.0,0.31,0.24,0.03
0.06,"[234, 48, 127, 173]",0.0,0.47,0.01,0.16,0.26,0.04
0.07,"[229, 45, 135, 182]",0.0,0.5,0.01,0.17,0.2,0.06
0.22,"[233, 45, 128, 171]",0.01,0.14,0.01,0.31,0.29,0.03
0.15,"[234, 47, 128, 171]",0.01,0.17,0.02,0.37,0.25,0.03
0.14,"[234, 47, 128, 171]",0.01,0.16,0.02,0.38,0.25,0.03
0.12,"[228, 53, 133, 172]",0.01,0.2,0.02,0.4,0.18,0.08
0.14,"[235, 50, 123, 166]",0.01,0.13,0.02,0.41,0.27,0.02
0.12,"[233, 52, 127, 166]",0.0,0.1,0.04,0.41,0.3,0.01
0.16,"[241, 54, 120, 162]",0.0,0.07,0.13,0.29,0.33,0.01
0.12,"[241, 55, 119, 161]",0.0,0.06,0.09,0.37,0.34,0.01
0.08,"[242, 57, 119, 160]",0.0,0.05,0.13,0.22,0.51,0.01
0.06,"[245, 57, 117, 160]",0.0,0.08,0.2,0.26,0.37,0.02
0.1,"[240, 58, 117, 152]",0.01,0.07,0.18,0.3,0.34,0.01
0.13,"[238, 60, 119, 155]",0.01,0.13,0.1,0.17,0.45,0.01
0.13,"[238, 60, 119, 155]",0.01,0.13,0.1,0.17,0.45,0.01
0.56,"[241, 56, 118, 158]",0.01,0.11,0.01,0.05,0.26,0.01
0.61,"[242, 55, 112, 159]",0.08,0.05,0.03,0.09,0.14,0.01
0.51,"[245, 53, 122, 171]",0.24,0.02,0.01,0.07,0.15,0.0
0.66,"[247, 51, 123, 168]",0.14,0.02,0.0,0.05,0.14,0.0
0.65,"[247, 51, 123, 168]",0.13,0.02,0.0,0.06,0.15,0.0
0.72,"[249, 50, 122, 168]",0.15,0.02,0.0,0.03,0.08,0.0
0.84,"[250, 50, 119, 164]",0.07,0.02,0.0,0.01,0.07,0.0
0.88,"[254, 55, 116, 157]",0.05,0.03,0.0,0.0,0.03,0.0
0.87,"[251, 48, 120, 167]",0.03,0.03,0.0,0.01,0.06,0.0
0.9,"[251, 49, 120, 166]",0.02,0.03,0.0,0.0,0.04,0.0
0.91,"[249, 48, 121, 168]",0.02,0.02,0.0,0.0,0.04,0.0
0.85,"[247, 46, 122, 171]",0.09,0.01,0.0,0.01,0.04,0.0
0.89,"[249, 52, 122, 169]",0.02,0.02,0.0,0.01,0.06,0.0
0.9,"[250, 52, 118, 165]",0.06,0.01,0.0,0.0,0.02,0.0
0.81,"[250, 53, 118, 164]",0.11,0.02,0.0,0.01,0.05,0.0
0.87,"[248, 55, 119, 165]",0.08,0.01,0.0,0.01,0.03,0.0
0.87,"[243, 59, 121, 167]",0.03,0.02,0.0,0.03,0.04,0.0
0.92,"[242, 62, 122, 168]",0.04,0.0,0.0,0.01,0.02,0.0
0.89,"[241, 63, 122, 168]",0.05,0.0,0.0,0.02,0.03,0.0
0.94,"[243, 67, 123, 169]",0.02,0.01,0.0,0.0,0.02,0.0
0.82,"[242, 64, 123, 171]",0.11,0.01,0.0,0.01,0.05,0.0
0.91,"[241, 63, 124, 170]",0.03,0.02,0.01,0.01,0.03,0.0
0.4,"[240, 61, 124, 171]",0.08,0.02,0.16,0.26,0.08,0.0
0.18,"[241, 61, 123, 169]",0.03,0.01,0.3,0.42,0.06,0.0
0.42,"[241, 62, 123, 168]",0.08,0.02,0.13,0.29,0.05,0.0
0.37,"[241, 62, 122, 166]",0.02,0.02,0.06,0.49,0.04,0.0
0.79,"[241, 59, 121, 166]",0.01,0.01,0.01,0.14,0.04,0.0
0.87,"[241, 58, 121, 167]",0.02,0.01,0.0,0.07,0.03,0.0
0.65,"[241, 57, 122, 169]",0.0,0.01,0.02,0.28,0.04,0.0
0.63,"[241, 57, 122, 169]",0.0,0.01,0.02,0.3,0.04,0.0
0.78,"[242, 57, 121, 166]",0.0,0.01,0.0,0.15,0.06,0.0
0.79,"[242, 57, 122, 167]",0.02,0.01,0.0,0.15,0.03,0.0
0.73,"[242, 56, 123, 171]",0.07,0.01,0.01,0.13,0.04,0.0
0.79,"[243, 56, 123, 172]",0.02,0.02,0.01,0.11,0.04,0.01
0.79,"[243, 56, 123, 172]",0.02,0.02,0.01,0.11,0.05,0.01
0.94,"[244, 58, 122, 169]",0.01,0.0,0.0,0.02,0.02,0.0
0.96,"[245, 62, 123, 168]",0.01,0.01,0.0,0.0,0.02,0.0
0.89,"[246, 56, 122, 170]",0.05,0.01,0.0,0.02,0.04,0.0
0.81,"[247, 56, 121, 168]",0.06,0.01,0.0,0.07,0.05,0.0
0.81,"[247, 56, 121, 168]",0.06,0.01,0.0,0.07,0.05,0.0
0.79,"[250, 54, 118, 164]",0.02,0.02,0.01,0.09,0.07,0.0
0.88,"[250, 53, 118, 166]",0.04,0.01,0.0,0.02,0.04,0.0
0.91,"[250, 52, 119, 166]",0.02,0.01,0.0,0.01,0.04,0.0
0.89,"[250, 51, 119, 166]",0.04,0.01,0.0,0.01,0.05,0.0
0.89,"[248, 56, 123, 169]",0.03,0.01,0.0,0.02,0.06,0.0
0.9,"[248, 49, 120, 172]",0.01,0.01,0.0,0.04,0.05,0.0
0.83,"[249, 48, 121, 176]",0.01,0.01,0.01,0.1,0.04,0.0
0.9,"[249, 48, 121, 176]",0.01,0.01,0.0,0.05,0.03,0.0
0.95,"[246, 48, 123, 177]",0.0,0.01,0.0,0.02,0.02,0.0
0.95,"[246, 48, 123, 177]",0.01,0.01,0.0,0.02,0.02,0.0
0.97,"[245, 55, 124, 170]",0.0,0.01,0.0,0.0,0.02,0.0
0.97,"[245, 49, 123, 177]",0.01,0.0,0.0,0.01,0.01,0.0
0.96,"[245, 54, 124, 174]",0.01,0.01,0.0,0.0,0.01,0.0
0.89,"[243, 53, 126, 176]",0.05,0.01,0.0,0.01,0.03,0.0
0.89,"[243, 53, 126, 176]",0.05,0.01,0.0,0.01,0.03,0.0
0.78,"[244, 55, 125, 173]",0.11,0.02,0.0,0.03,0.05,0.0
0.62,"[243, 50, 123, 175]",0.01,0.02,0.02,0.28,0.06,0.0
0.69,"[243, 50, 123, 175]",0.04,0.02,0.01,0.18,0.05,0.0
0.92,"[244, 55, 123, 169]",0.04,0.01,0.0,0.01,0.03,0.0
0.96,"[240, 50, 125, 177]",0.0,0.01,0.0,0.01,0.02,0.01
0.98,"[239, 49, 127, 179]",0.0,0.01,0.0,0.0,0.01,0.0
0.93,"[241, 50, 125, 177]",0.03,0.01,0.0,0.01,0.02,0.0
0.9,"[241, 50, 124, 175]",0.07,0.01,0.0,0.0,0.02,0.0
0.75,"[242, 56, 122, 167]",0.21,0.01,0.0,0.01,0.02,0.0
